OBJECTID,I_EVENTNUMBER,LOCATION,STREET,CALL_ID,CALL_DESC,CALL_DATE,COORDS,I_MAPX,I_MAPY,I_STATUSID,ILO_BEAT,I_REPORTINGDISTRICT,CALL_DATE_STR,TIMEUPDATE,POL_BEAT,POL_DIST,POL_SECT
709572,,,,,,,,,,,,,,,,,
1317192,,,,,,,,,,,,,,,,,
1329386,,,,,,,,,,,,,,,,,
1528376,,,,,,,,,,,,,,,,,
1763066,,,,,,,,,,,,,,,,,
1767426,,,,,,,,,,,,,,,,,
2033698,,,,,,,,,,,,,,,,,
2093104,,,,,,,,,,,,,,,,,
2134569,LOP240718001025,80TH AV&INTERNATIONAL BLVD,AV&INTERNATIONAL BLVD,211,ROBBERY,1721329455000,"[-122.1816586, 37.7566218]",6075541,2102331,C,30X,CCD7,07/18/24  7:04:15 PM,1721339662000,30,5,3
2134570,LOP240718001026,1266 14TH ST,14TH ST,415C,415 UNKNOWN,1721329554000,"[-122.2886345, 37.8101731]",6044993,2122400,C,05X,CCD3,07/18/24  7:05:54 PM,1721329554000,5,1,1
2134571,LOP240718001027,1266 14TH ST,14TH ST,415C,415 UNKNOWN,1721329568000,"[-122.2886345, 37.8101731]",6044993,2122400,C,05X,CCD3,07/18/24  7:06:08 PM,1721329591000,5,1,1
2134572,LOP240718001028,E 12TH ST&38TH AV,12TH ST&38TH AV,20002,HIT & RUN (PROPERTY,1721329573000,"[-122.2208252, 37.773636]",6064334,2108731,C,23X,CCD5,07/18/24  7:06:13 PM,1721334292000,23,4,2
2134573,LOP240718001032,215 E 15TH ST,E 15TH ST,311,NON POLICE/LAW RELAT,1721329731000,"[-122.2553313, 37.7984529]",6054532,2117951,C,19X,CCD2,07/18/24  7:08:51 PM,1721329731000,19,3,2
2134574,LOP240718001033,7101 EDGEWATER DR,EDGEWATER DR,911C,911 HANG UP FROM CP,1721329834000,"[-122.2094674, 37.7488054]",6067451,2099631,C,31X,CCD7,07/18/24  7:10:34 PM,1721329834000,31,5,3
2134575,LOP240718001034,550 30TH ST,30TH ST,CKVEH,CHECK VEHICLE,1721329899000,"[-122.2681227, 37.8192612]",6050980,2125596,P,08X,CCD3,07/18/24  7:11:39 PM,1721329941000,8,2,1
2134576,LOP240718001035,3524 HARPER ST,HARPER ST,R10851,RECOVERED STOLEN VEH,1721329997000,"[-122.2171477, 37.7834106]",6065462,2112270,C,24X,CCD5,07/18/24  7:13:17 PM,1721339851000,24,4,2
2134577,LOP240718001036,7615 HOLLY ST,HOLLY ST,911C,911 HANG UP FROM CP,1721330073000,"[-122.1811144, 37.7607058]",6075725,2103815,P,30X,CCD6,07/18/24  7:14:33 PM,1721330073000,30,5,3
2134578,LOP240718001037,33RD ST&34TH ST,ST&34TH ST,945A,AMBULANCE REQUESTED,1721330128000,"[-122.2678168, 37.8228476]",6051093,2126900,C,08X,CCD3,07/18/24  7:15:28 PM,1721330128000,8,2,1
